name,gender
آتشی,F
آتشیزه,F
آتشین,F
آتلاز,F
آتمش,M
آتنا,F
آتنایا,F
آتنه,F
آتور,F
آتورپات,M
آتورینا,F
آتوسا,F
آتوشه,F
آتیال,M
آتیتی,M
آتیجی,M
آتیس,F
آتیلا,M
آتین,M
آتیه,F
آثویه,M
آجیر,M
آچیق,both
آچیم,M
آخش,M
آخشیج,M
آدُر,M
آدُرباد,M
آدا,F
آداد,M
آدارایل,M
آداش,M
آدان,M
آدبهاوا,M
آدخ,M
آدخت,F
آدریان,M
آدریانوس,M
آدرین,M
آدلی,M
آدم,M
آدنا,F
آدنیس,F
آدورا,M
آدورینا,F
آدونیس,F
آدهاوا,M
آدی,M
آدیش,M
آدیشه,F
آدیگوزل,M
آدین,M
آدینگ,M
آدینه,both
آذار,F
آذر,F
آذر بُرزین,M
آذرافروز,both
آذرافزا,both
آذران,M
آذراوغلی,M
آذرآباد,both
آذرآیین,M
آذربُد,M
آذربابا,M
آذرباد,M
آذربان,M
آذربانو,F
آذربو,F
آذربود,M
آذربویه,F
آذربه,M
آذربهرام,M
آذرپَژوه,M
آذرپاد,M
آذرپناه,M
آذرپی,M
آذرتاش,M
آذرتوس,M
آذرجوش,M
آذرجهان,F
آذرچهر,both
آذرخاتون,F
آذرخش,both
آذرداد,M
آذردخت,F
آذردیس,both
آذررخ,F
آذرشب,M
آذرشسب,M
آذرشست,both
آذرشن,M
آذرطوس,M
آذرفر,M
آذرفرنبغ,M
آذرفروز,both
آذرفزا,both
آذرك,F
آذركار,M
آذركیش,M
آذركیوان,M
آذرگشسب,M
آذرگشسپ,M
آذرگل,F
آذرگون,F
آذرماه,F
آذرماهان,M
آذرمه,F
آذرمهر,F
آذرمهربرزین,M
آذرمیدخت,F
آذرمینا,F
آذرنرسی,M
آذرنگ,M
آذرنوش,F
آذروان,M
آذرهمایون,F
آذرین,both
آذریون,F
آذین,F
آذین دخت,F
آذین فر,M
آذین گل,F
آرا,F
آراج,M
آراد,M
آرارات,M
آراز,M
آرازش,M
آراس,M
آراسته,F
آراستی,both
آراشید,F
آراگل,F
آرالیا,F
آرام,F
آرام دخت,F
آرام دل,F
آرامش,F
آرامه,F
آرامیس,F
آران,M
آرایه,F
آرپان,M
آرتا,both
آرتاباز,M
آرتابان,M
آرتاپارت,M
آرتادخت,F
آرتان,M
آرتمن,M
آرتمیس,both
آرتنوس,F
آرتوان,M
آرتونیس,F
آرته دخت,F
آرتیستون,F
آرتیمان,M
آرتیمیس,F
آرتین,M
آرتینا,F
آرخا,M
آردا,M
آردین,M
آرزو,F
آرژان,F
آرسام,M
آرسان,M
آرسن,M
آرسین,M
آرسینه,F
آرش,M
آرشا,M
آرشاك,M
آرشام,M
آرشامه,M
آرشان,M
آرشاویر,M
آرشیدا,F
آرشین,F
آركا,M
آرگون,F
آرمان,M
آرمانا,F
آرمتی,F
آرمناك,M
آرمه,F
آرمیا,M
آرمیتا,F
آرمیتان,F
آرمیتی,F
آرمیدخت,F
آرمیس,F
آرمیلا,F
آرمین,M
آرمینا,F
آرمیندخت,F
آرمینه,F
آرمینی,M
آرنا,M
آرنوش,F
آرنوشا,F
آرنیكا,F
آروا,F
آروشا,F
آروكو,M
آرویج,M
آرویشه,F
آروین,M
آری,M
آریا,M
آریاباد,M
آریابان,M
آریابد,M
آریابرز,M
آریادخت,F
آریاراد,M
آریارامنه,M
آریارمن,M
آریاز,M
آریاسب,M
آریافر,M
آریاك,M
آریاگیو,M
آریامن,M
آریامنش,M
آریامهر,M
آریان,both
آریانا,F
آریاناز,F
آریانوش,F
آریتما,M
آریز,M
آریژه,F
آریس,M
آریسا,F
آریسان,F
آریستا,both
آریسته,M
آریشیدا,F
آرین,M
آرینا,F
آریندخت,F
آریو,M
آریوبَرزَن,M
آریوبرزن,M
آریوبرزین,M
آریوداد,M
آریوراد,M
آریه,M
آزا,M
آزاد,M
آزاد منش,M
آزادبه,M
آزادچهر,F
آزاددخت,F
آزادسرو,M
آزادفروز,M
آزادمهر,M
آزاده,F
آزاده خوی,F
آزاله,F
آزالیا,F
آزر,M
آزران,M
آزرم,F
آزرم خاتون,F
آزرمدخت,F
آزرمگان,M
آزرمیدخت,F
آزیتا,F
آزین,F
آژمان,M
آژند,both
آژنگ,M
آسا,F
آسادخت,F
آساره,F
آسام,M
آسانا,F
آسایش,M
آسپاداس,M
آسپیان,M
آستیاژ,M
آستیاك,M
آسدین,M
آسكی,F
آسمان,F
آسمانهور,F
آسنا,F
آسنات,F
آسو,both
آسودا,F
آسوده,F
آسیا,F
آسیدات,M
آسیداد,M
آسیمن,F
آسیه,F
آشتی,F
آشر,M
آشنا,F
آشوب,F
آشور,M
آشورینا,F
آشیان,F
آشینا,M
آصف,M
آصفه,F
آطوسا,F
آغابانو,F
آفاق,F
آفت,F
آفتاب,F
آفتابدخت,F
آفریدون,M
آفریده,F
آفرین,F
آفرین گل,F
آفرین ماه,F
آفرین مهر,F
آفرین ناز,F
آفرین نوش,F
آفریندخت,F
آفسانه,F
آفشید,F
آق بانو,F
آق گل,F
آقاجان,M
آقاگل,M
آقامیر,M
آكام,M
آكو,M
آگا,M
آگاهدخت,F
آگرین,F
آلا,F
آلاء,F
آلاگل,F
آلاله,F
آلان قوا,F
آلان گوا,F
آلاوه,F
آلب,M
آلب ارسلان,M
آلب تكین,M
آلبا,F
آلپ ارسلان,M
آلپ تكین,M
آلتنای,F
آلتون,F
آلتونتاش,M
آلتین,F
آلتین گلین,F
آلكا,both
آلما,F
آلماز,F
آلماگل,both
آلند,F
آلنوش,F
آلوگونه,F
آلیا,M
آلیس,F
آلیسا,F
آلیش,F
آلیشان,both
آماتیس,F
آماستریس,F
آمال,F
آمانج,M
آماندا,M
آماندانا,F
آمتیس,F
آمستریس,F
آمنه,F
آمنید,M
آموتیا,F
آموی,M
آمیتریس,F
آمیتیدا,F
آمیتیس,F
آمین,M
آن,F
آنا,F
آناشید,F
آناگ,M
آنالی,F
آناهیتا,F
آناهید,F
آنتیگون,M
آندیا,F
آنسه,F
آنو,F
آنوش,F
آنوشا,F
آنوشه,M
آنیا,F
آنیتا,F
آنیس,F
آنیسا,F
آنیل,M
آوا,F
آوات,F
آوادان,F
آوادخت,F
آوادیس,both
آوازه,F
آوام,F
آوانوش,F
آوشن,F
آوگان,M
آون,F
آونگ,both
آوه,M
آوید,both
آویده,F
آویر,M
آویز,both
آویزند,F
آویزه,F
آویژه,both
آویسا,F
آویشن,F
آویشه,F
آوین,F
آوینا,F
آهار,F
آهنگ,F
آهو,F
آهید,F
آهیر,M
آهیل,M
آهین,M
آی,F
آی اوز,F
آی بك,M
آی بی بی,F
آی پارا,F
آی پری,F
آی تركی ماه,F
آی خانم,F
آی سودا,F
آی نشان,F
آیا تای,F
آیت,M
آیت الله,M
آیتا,F
آیتاش,M
آیتای,F
آیتغمش,M
آیتك,F
آیتكین,M
آیتن,F
آیتونا,M
آیجان,F
آیخان,M
آیدا,F
آیدان,F
آیدك,F
آیدن,F
آیدنگ,F
آیدین,M
آیریك,M
آیرین,F
آیسا,F
آیسان,F
آیسل,F
آیقان,M
آیكان,M
آیگل,F
آیگوزل,F
آیگین,F
آیلا,both
آیلار,F
آیلما,F
آیلی,F
آیلین,F
آیما,F
آین,both
آینا,F
آیناز,F
آینور,F
آیه,F
آیهان,M
آییژ,F
آیین,F
آیین گشسب,M
آئیل,M
بَخشا,M
بَدخشان,M
بَرَسم,M
بَرِشنوم,M
بَرازمان,M
بَردیا,M
بَرسام,M
بَرمك,M
بَگاداد,M
بَگاش,M
بَهاوند,M
بَهرامشاه,M
بُرزو,M
بُرزویه,M
بُزرگمهر,M
بُندار,M
بُنشاد,M
بِهراد,M
بِهروز,M
بِهمرد,M
بابا,M
بابان,F
بابر,M
بابك,M
بابوس,F
بابوی,M
بابیك,M
بابیلان,F
باپوك,M
باپیر,M
باپیو,F
باتوف,F
باتیس,M
باتینك,F
باتینوك,F
بادام,F
بادامك,F
بادان,M
بادر,F
بادرام,M
بادلیس,M
بادینان,M
باذان,M
باراد,M
باران,F
باربُد,M
بارزان,both
بارسین,M
بارش,F
بارشین,M
بارلی,F
بارمان,M
بارنك,F
بارنگ,F
باروشه,F
باریز,F
باریزان,F
باریسان,M
باریكان,M
بارین,F
بازان,F
بازبان,M
بازنه,F
بازو,F
بازور,F
بازیار,M
بازیان,M
باژار,M
باژوران,F
باژه,M
باژیر,F
باسام,M
باستان,M
باستیان,F
باستینگ,F
باسكار,F
باسكان,M
باشار,M
باشن,F
باشو,M
باشوان,M
باشور,M
باشوك,M
باشیلا,F
باغان,F
باغبان,M
بافرین,F
باقر,M
باكوت,F
باكور,M
باگه,M
بالا,M
بالاچ,M
بالبان,M
بالك,M
بالنده,both
بالوی,M
بالویز,M
بالیده,F
بالین,F
بامداد,M
بامشاد,M
بامك,F
بامگاه,M
بامی,F
بامیك,F
بامین,F
بانگ,M
بانو,F
بانواز,F
بانوگشسب,F
بانی,M
بانیپال,M
باوا,M
باوان,F
باور,F
باوشین,F
باوند,F
باوین,F
باهرام,M
باهك,M
باهنر,M
باهوز,M
باهیف,M
بایا,M
بایتگین,M
بایخ,F
بایرام,M
بایزید,M
بایف,M
بایگان,M
ببك,M
بتام,M
بتاو,M
بتسابه,F
بتمان,F
بتول,F
بتین,F
بثریك,M
بجرگ,M
بچكول,F
بحیرا,M
بخت آفرید,F
بخت آفرین,M
بختوان,F
بختور,F
بختیار,M
بختیاری,M
بخش علی,M
بخشان,M
بخشین,F
بخشینر,M
بدرالدین,M
بدره,M
بدری,F
بدن گل,F
بدیع الزمان,M
برات,M
براخاس,M
براخاص,M
برادر,M
برادوست,M
برام,M
برانوش,M
براو,M
براهام,M
براهیم,M
برآلین,M
برپرس,M
برتاو,M
برتن,M
برته,M
برجاسپ,M
برچاو,M
برداش,M
بردان,M
بردبار,F
بردل,M
بردیس,M
برز,M
برزام,M
برزان,M
برزاو,M
برزآذر,M
برزآفرید,F
برزآفرین,M
برزفر,M
برزفری,M
برزما,M
برزمند,M
برزمهر,M
برزن,M
برزهم,M
برزی,F
برزین,both
برزین داد,M
برزین مهر,M
برژان,F
برژانگ,F
برژنگ,F
برژول,F
برسومه,F
برسیان,M
برسیل,F
برسین,F
برشان,M
برشید,F
برشیو,F
برف آب,F
برفی,F
برفین,F
برقه,F
بركاو,M
بركو,M
برگ,F
برگام,F
برگش,M
برلیان,F
برمال,M
برمایون,M
برنا,both
برنوش,M
بروا,M
بروار,M
بروان,M
بروز,M
بروسكان,M
بروسكه,M
بروفه,F
برومند,M
برهان,M
برهان الدین,M
برهم,M
برهمن,M
برهمند,M
برهون,F
بریا,F
بریار,F
بریان,M
بریز,M
بریسكه,M
بریكار,M
برین,M
بریندار,M
برینداره,F
بریوان,F
بزان,F
بزرجمهر,M
بزرگ,M
بزرگ امید,M
بزوتنوه,M
بزوین,M
بزین,F
بژار,M
بژدار,F
بژن,F
بژوار,both
بژول,F
بژوین,F
بژیو,F
بسارنگ,both
بسام,M
بستك,M
بستور,M
بستیر,M
بسمه,F
بسود,M
بسوز,M
بسیم,M
بسیه,M
بشتاسب,M
بشدار,F
بشرا,F
بشری,F
بشكو,F
بشیر,M
بصیر,M
بغرا,M
بفران,F
بفرانبار,F
بكتاش,M
بكیاش,M
بلار,F
بلاش,M
بلاشان,M
بلال,M
بلالوك,F
بلباس,M
بلقیا,F
بلقیس,F
بلنجه,F
بلواژ,F
بلوت,F
بلور,F
بلورین,F
بلوط,F
بلویر,M
بلیسه,F
بلیمت,M
بلین,F
بمان علی,M
بمانی,F
بنار,M
بناز,F
بنان,F
بناو,F
بناوان,F
بنجامین,M
بندن,M
بندوی,M
بنرخ,F
بنفش,F
بنفشه,F
بنگین,F
بنن,F
بنیا,F
بنیامین,M
بنیتا,F
بنین,F
بوار,M
بوبار,M
بوبان,M
بوبك,F
بوپار,M
بوتان,M
بوته,F
بوجه,M
بوختار,F
بوخشا,M
بودیان,M
بوذر,M
بوذرجمهر,M
بوراب,M
بوران دخت,F
بورباش,M
بورچین,F
بورژك,M
بورنگ,M
بوزرجمهر,M
بوژان,M
بوژنه,F
بوستان,F
بوستان افروز,M
بوسه,F
بوسیان,M
بوكان,F
بوكبویانی,F
بونخوش,F
بوندار,F
بوین,F
به آذین,M
به آفرید,F
به آفرین,F
به آیین,F
به آئین,M
به تام,both
به خاتون,F
به نگار,F
به یزداد,M
بها,M
بهاء الدین,M
بهادر,M
بهار,F
بهارا,F
بهاران,F
بهارآفرین,F
بهاردخت,F
بهاررخ,F
بهارك,F
بهارناز,F
بهاره,F
بهارین,F
بهامد,M
بهامین,F
بهان,both
بهانه,F
بهاور,F
بهبد,M
بهبود,M
بهپور,M
بهتا,F
بهتاش,M
بهجت,M
بهداد,M
بهداور,M
بهدخت,F
بهدیس,F
بهدین,M
بهرام,M
بهرامه,F
بهرانه,F
بهرخ,F
بهرنگ,M
بهرو,F
بهروزه,F
بهروش,M
بهزاد,M
بهزادان,M
بهسا,F
بهستان,M
بهستون,M
بهسود,M
بهسودان,M
بهشاد,M
بهشت,F
بهشته,F
بهشید,F
بهفام,M
بهك,M
بهكامه,F
بهگل,F
بهلول,M
بهمن,M
بهمن داد,M
بهمن دخت,F
بهمنش,M
بهمنیار,M
بهناز,F
بهنام,M
بهنواز,F
بهنود,M
بهنوش,F
بهنیا,M
بهوران,M
بهی,F
بهیز,M
بهین,F
بهین بانو,F
بهین دخت,F
بهینا,both
بهینه,F
بی بش,M
بی بی گل,F
بی بی ماه,F
بی بی ناز,F
بی توش,F
بی خال,F
بی خم,F
بی نظیر,F
بی وینه,F
بیارش,M
بیاره,M
بیان,F
بیانه,F
بیباك,M
بیبون,F
بیتا,F
بیتاوان,M
بیتخش,M
بیتك,M
بیچم,F
بیدار,both
بیدخت,F
بیدگل,F
بیرام,M
بیرشاد,M
بیرگا,M
بیرور,M
بیرون,F
بیری,F
بیریفان,F
بیزار,M
بیژن,M
بیژه,F
بیساران,M
بیسان,F
بیستان,F
بیستون,M
بیسو,F
بیشو,F
بیكژ,F
بیكس,M
بیكن,F
بیگرد,F
بیگم,F
بیلاش,M
بیلو,F
بینا,F
بینر,M
بینور,F
بینیار,F
بیور,F
بیورد,M
بیورزاد,M
بیوی,F
پَتَه مانی,M
پَرنگ,M
پَریبُرز,M
پَشَنگ,M
پُرشاد,F
پاپریك,M
پاپوك,F
پاتیرا,M
پادار,M
پاداش,both
پاداشت,M
پادرا,M
پادشا,M
پادمیرا,F
پادنا,F
پادینا,F
پارامیدا,F
پاردیس,F
پاردیك,M
پارس,M
پارسا,M
پارسان,M
پارسوا,M
پارسیا,M
پارسیس,M
پارلا,F
پارلار,F
پارمیدا,F
پارمیس,F
پارمین,F
پارنا,F
پارند,F
پاره وان,M
پاره یار,M
پاساك,M
پاسدار,M
پاشا,M
پاشنگ,F
پاك آفرین,F
پاك رخ,F
پاك سیما,F
پاك گوهر,F
پاكان,M
پاكبانو,F
پاكچهر,F
پاكدخت,F
پاكدل,F
پاكدین,both
پاكر,M
پاكروان,M
پاكروز,F
پاكروی,F
پاكزاد,M
پاكفر,F
پاكمهر,M
پاكناز,F
پاكنوش,F
پاكیزه,F
پالیز,both
پامچال,F
پانته,F
پانته آ,F
پانتی,F
پانی,F
پانیا,F
پانیذ,F
پانیسا,F
پانیك,F
پاو,M
پایا,M
پایار,M
پایون,F
پاییز,F
پاییزان,F
پدرام,M
پدیده,F
پرارین,F
پرارین دخت,F
پراهام,M
پربها,F
پرتو,F
پرچم,M
پرخیده,F
پرداد,M
پردخت,F
پردیز,F
پردیس,F
پرزاد,F
پرزین,F
پرسا,F
پرستش,F
پرستك,F
پرستو,F
پرستوك,F
پرسون,F
پرسیا,F
پرشان,M
پرشت,F
پرشنگ,F
پرشیا,M
پرك,F
پرگام,F
پرگان,F
پرگشا,F
پرگل,F
پرگون,F
پرمایه,M
پرمودیه,M
پرمون,F
پرمیس,F
پرن,F
پرنا,F
پرناز,F
پرناك,F
پرند,F
پرندخت,F
پرنددخت,F
پرنددیس,F
پرندك,F
پرندوش,F
پرندین,F
پرنسا,F
پرنوش,F
پرنون,F
پرنیا,F
پرنیان,F
پرنین,F
پرو,F
پروا,F
پروانه,F
پروچستا,F
پروچیستا,F
پرور,F
پروش,F
پروشات,F
پرویز,M
پروین,F
پرهام,M
پرهان,M
پری,F
پری بانو,F
پری پیكر,F
پری تاج,F
پری جان,F
پری دخت,F
پری رو,F
پری روی,F
پری سیما,F
پری گل,F
پری ویس,F
پریا,F
پریاس,F
پریام,M
پریان,F
پریچه,F
پریچهر,F
پریچهره,F
پریرخ,F
پریزاد,F
پریزاده,F
پریژه,F
پریسا,F
پریسان,F
پریشا,F
پریفام,F
پریفر,F
پریگون,F
پریماه,F
پریمرز,F
پرین,F
پریناز,F
پرینام,F
پرینوش,F
پریوش,F
پژال,F
پژدو,M
پژمان,M
پژند,M
پژواك,both
پساك,M
پسته,F
پسندیار,M
پشتیسار,M
پشن,M
پشوتَن,M
پشین,M
پگاه,F
پلاش,M
پلاشان,M
پنجعلی,M
پندار,M
پوپك,F
پوپه,F
پودینه,F
پوران,F
پوران دخت,F
پوربه,M
پورچیستا,F
پورشسب,M
پورك,M
پورنگ,M
پوروچیستا,F
پوروشسب,M
پوری,F
پوریا,M
پوریار,M
پوژمان,M
پولا,M
پولاد,M
پولك,F
پونا,F
پونه,F
پویا,M
پویان,M
پویین,M
پهلبد,M
پیام,M
پیچك,F
پیداگشسب,M
پیدرا,F
پیراسته,F
پیران,M
پیرایه,F
پیرداد,M
پیروز,M
پیروزان,M
پیروزدخت,F
پیروزگر,M
پیروزه,both
پیروزی,M
پیشداد,M
پیكان,M
پیلتَن,M
پیلسم,M
پیمان,M
پیمانه,F
پینار,F
پیوند,F
تَرَنُم,F
تَسو,M
تَندُر,F
تَنسِر,M
تَهمتَن,M
تُرنج,F
تِهرت,F
تِیتَك,F
تابا,both
تابال,M
تابان,F
تابان چهر,F
تابان دخت,F
تابان رخ,F
تابان گل,F
تابانروی,F
تابانمهر,F
تابش,F
تابناك,F
تابنده,F
تابیتا,F
تاپیك,F
تاتیانا,F
تاتینا,F
تاج الدین,M
تاج الزمان,F
تاج الملك,F
تاج الملوك,F
تاج آفرین,F
تاج بانو,F
تاج بخش,M
تاج بی بی,F
تاج خاتون,F
تاج دخت,F
تاج گل,F
تاج ماه,F
تاج مهر,F
تاجیك,M
تارا,F
تارادخت,F
تارادیس,F
تارح,M
تارخ,M
تارلا,F
تارمیتا,F
تازه,F
تاژ,both
تافته,F
تاك آفرین,F
